2026-08-19 23:14:19.046077;wrapper;(4.989767, 56.98);{};62.0
2026-08-19 23:14:19.046214;wrapper;(4.989767, 56.98);{};52.0
2026-08-19 23:14:20.163206;wrapper;(4.989767, 56.98);{};62.0
2026-08-19 23:14:20.163335;wrapper;(4.989767, 56.98);{};52.0
2026-08-19 23:14:20.477955;wrapper;(4.989767, 56.98);{};62.0
2026-08-19 23:14:20.478065;wrapper;(4.989767, 56.98);{};52.0
2026-08-19 23:14:20.822491;wrapper;(4.989767, 56.98);{};62.0
2026-08-19 23:14:20.822824;wrapper;(4.989767, 56.98);{};52.0
2026-08-19 23:15:34.441965;wrapper;(4.989767, 56.98);{};62.0
2026-08-19 23:15:34.442360;wrapper;(4.989767, 56.98);{};52.0
2026-08-19 23:18:29.919161;wrapper;(4.989767, 56.98);{};62.0
2026-08-19 23:18:29.919555;wrapper;(4.989767, 56.98);{};52.0
2026-08-19 23:19:21.175619;wrapper;(4.989767, 56.98);{};62.0
2026-08-19 23:20:36.297600;wrapper;(4.989767, 56.98);{};62.0
